問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
ロビンが空白の100年を解き明かすことを目標とするきっかけとなったのは誰の遺志ですか？,オハラの学者たち,母親,サウロ,Dr.ベガパンク,1,"ロビンはオハラの学者たちの遺志を継ぎ、歴史を解き明かすことを目指しています。",2
フランキーが「夢の船」を建造することを目標とするきっかけとなったのは誰との約束ですか？,トムさん,アイスバーグ,ルフィ,自身,1,"フランキーはトムさんとの約束を果たすため「夢の船」を建造しました。",2
ブルックがラブーンとの再会を夢見るきっかけとなったのは誰の言葉ですか？,ルフィ,ルンバー海賊団,ヨミヨミの実,クロッカス,1,"ブルックはルンバー海賊団との約束とラブーンとの再会を夢見ています。",2
ジンベエが魚人族の自由を求めるきっかけとなったのは誰との出会いですか？,フィッシャー・タイガー,オトヒメ,アーロン,ルフィ,1,"ジンベエはフィッシャー・タイガーとの出会いをきっかけに魚人族の自由を求めました。",3
ルフィが最初に懸賞金をかけられた理由は？,アーロンを倒したから,海賊王を名乗ったから,海軍を襲撃したから,悪魔の実の能力者だから,1,"ルフィが最初に懸賞金をかけられたのはアーロンを倒したからです。",2
ゾロが初めて懸賞金をかけられた理由は？,バロックワークスを倒したから,海賊狩りとして有名になったから,ルフィの仲間になったから,海軍を襲撃したから,1,"ゾロが最初に懸賞金をかけられたのはバロックワークスを倒したからです。",2
ナミが初めて懸賞金をかけられた理由は？,CP9と戦ったから,エニエス・ロビー事件に関わったから,ルフィの仲間になったから,泥棒だったから,1,"ナミが最初に懸賞金をかけられたのはエニエス・ロビー事件に関わったからです。",3
ウソップが初めて懸賞金をかけられた理由は？,エニエス・ロビー事件に関わったから,狙撃の腕前が知られたから,ルフィの仲間になったから,嘘つきだから,1,"ウソップが最初に懸賞金をかけられたのはエニエス・ロビー事件に関わったからです。",3
サンジが初めて懸賞金をかけられた理由は？,エニエス・ロビー事件に関わったから,海上レストランのコックだったから,ルフィの仲間になったから,料理の腕前が知られたから,1,"サンジが最初に懸賞金をかけられたのはエニエス・ロビー事件に関わったからです。",3
チョッパーが初めて懸賞金をかけられた理由は？,エニエス・ロビー事件に関わったから,人獣型に変身したから,ルフィの仲間になったから,船医だから,1,"チョッパーが最初に懸賞金をかけられたのはエニエス・ロビー事件に関わったからです。",3
ロビンが初めて懸賞金をかけられた理由は？,オハラの生き残りだから,ポーネグリフを読めるから,ルフィの仲間になったから,世界政府に反抗したから,1,"ロビンが最初に懸賞金をかけられたのはオハラの生き残りだからです。",3
フランキーが初めて懸賞金をかけられた理由は？,エニエス・ロビー事件に関わったから,サウザンドサニー号を建造したから,ルフィの仲間になったから,サイボーグだから,1,"フランキーが最初に懸賞金をかけられたのはエニエス・ロビー事件に関わったからです。",3
ブルックが初めて懸賞金をかけられた理由は？,スリラーバーク事件に関わったから,ヨミヨミの実の能力者だから,ルフィの仲間になったから,音楽家だから,1,"ブルックが最初に懸賞金をかけられたのはスリラーバーク事件に関わったからです。",3
ジンベエが初めて懸賞金をかけられた理由は？,七武海になる前,魚人族の英雄だから,タイヨウの海賊団船長だから,世界政府に反抗したから,1,"ジンベエはタイヨウの海賊団の船長として懸賞金をかけられました。",3
世界政府の頂点に君臨する五老星の人数は何人ですか？,5人,3人,7人,10人,1,"五老星は5人です。",3
空白の100年について研究していたオハラの学者たちのリーダーは誰ですか？,Dr.クローバー,ニコ・オルビア,ニコ・ロビン,Dr.ベガパンク,1,"Dr.クローバーがオハラの学者たちのリーダーでした。",4
古代兵器「プルトン」の設計図を保管していたのは誰ですか？,フランキー,トムさん,アイスバーグ,コーザ,1,"プルトンの設計図はフランキーが持っていました。",4
古代兵器「ポセイドン」の能力を持つ人魚姫の名前は何ですか？,しらほし,オトヒメ,ヴィヴィ,レベッカ,1,"ポセイドンはしらほし姫です。",3
世界政府の最高位である「聖」の称号を持つ人物「イム様」は何を支配していますか？,虚の玉座,世界会議,海軍本部,五老星,1,"イム様は虚の玉座を支配しています。",5
ジェルマ66の「科学戦闘部隊」のメンバーは誰ですか？,ヴィンスモーク家,サンジ,レイジュ,ヨンジ,1,"ジェルマ66の科学戦闘部隊はヴィンスモーク家です。",3
ワノ国でルフィ達が潜入した場所はどこですか？,鬼ヶ島,花の都,えびす町,おこぼれ町,1,"ルフィ達は鬼ヶ島に潜入しました。",3
ワノ国での戦いでゾロがカイドウに受けた傷の治癒を助けたのは誰ですか？,トコ,しのぶ,ひより,チョッパー,1,"ワノ国でゾロの傷を癒したのはトコです。",4
ワノ国での戦いでサンジが目覚めた能力は何ですか？,レイドスーツの能力,ジェルマの血統因子,月歩,見聞色の覇気,1,"サンジはジェルマの血統因子が目覚めました。",4
ワノ国での戦いでナミが手に入れた新しい武器は何ですか？,ゼウス,クリマ・タクト,天候棒,雷雲,1,"ナミはゼウスを手に入れました。",4
ワノ国での戦いでウソップが使用した必殺技は何ですか？,緑星 衝撃,火の鳥星,必殺火の鳥星,インパクト,1,"ウソップは緑星 衝撃を使用しました。",4
ワノ国での戦いでチョッパーが使用した技は何ですか？,柔力強化,暴走,ランブルボール,人獣型,1,"チョッパーは柔力強化を使用しました。",4
ワノ国での戦いでロビンが使用した技は何ですか？,巨人咲き,千紫万紅・巨大樹,百花繚乱・大樹,万花繚乱・巨木,1,"ロビンは巨人咲きを使用しました。",4
ワノ国での戦いでフランキーが使用した技は何ですか？,フランキー将軍,風来砲,フランキーラディカルビーム,スーパーフランク,1,"フランキーはフランキー将軍を使用しました。",4
ワノ国での戦いでブルックが使用した技は何ですか？,鼻唄三丁・矢筈斬り,魂の叫び,ソウルソリッド,氷の世界,1,"ブルックは鼻唄三丁・矢筈斬りを使用しました。",4
ワノ国での戦いでジンベエが使用した技は何ですか？,魚人空手・瓦正拳,海流一本背負い,槍波,梅花皮,1,"ジンベエは魚人空手・瓦正拳を使用しました。",4
ルフィが最初に出会った海軍将校は誰ですか？,コビー,ヘルメッポ,モーガン,スモーカー,1,"ルフィが最初に出会った海軍将校はコビーです。",2
ゾロが最初に戦った敵の名前は何ですか？,ヘルメッポ,モーガン,バギー,クロコダイル,1,"ゾロが最初に戦った敵はモーガンです。",2
ナミが最初に戦った敵の名前は何ですか？,バギー,アーロン,クロコダイル,エネル,1,"ナミが最初に戦った敵はバギーです。",2
ウソップが最初に戦った敵の名前は何ですか？,キャプテン・クロ,バギー,アーロン,クロコダイル,1,"ウソップが最初に戦った敵はキャプテン・クロです。",2
サンジが最初に戦った敵の名前は何ですか？,ドン・クリーク,バギー,アーロン,クロコダイル,1,"サンジが最初に戦った敵はドン・クリークです。",2
チョッパーが最初に戦った敵の名前は何ですか？,ワポル,クロコダイル,エネル,アーロン,1,"チョッパーが最初に戦った敵はワポルです。",2
ロビンが最初に戦った敵の名前は何ですか？,クロコダイル,エネル,ドフラミンゴ,カイドウ,1,"ロビンは元々クロコダイルの部下でした。",2
フランキーが最初に戦った敵の名前は何ですか？,CP9,アイスバーグ,ルフィ,トム,1,"フランキーはCP9と戦いました。",2
ブルックが最初に戦った敵の名前は何ですか？,ゲッコー・モリア,オーズ,リューマ,アブサロム,1,"ブルックはゲッコー・モリアと戦いました。",2
ジンベエが最初に戦った敵の名前は何ですか？,アーロン,ホーディ・ジョーンズ,世界政府,海軍,1,"ジンベエはホーディ・ジョーンズと戦いました。",2
ルフィの最初の仲間であるゾロが目指すものは何ですか？,世界一の大剣豪,海賊王,オールブルー,勇敢な海の戦士,1,"ゾロは世界一の大剣豪を目指しています。",1
サンジが夢見るオールブルーとはどのような場所ですか？,世界中の海の魚が全ている場所,海賊の楽園,宝が眠る場所,自由な場所,1,"オールブルーは世界中の海の魚が全ている伝説の海です。",2
ナミが夢見る世界地図とはどのような地図ですか？,世界中の海の地図,宝の地図,航海の地図,自由の地図,1,"ナミは世界中の海の地図を描くことを夢見ています。",2
ウソップが夢見る勇敢な海の戦士とはどのような戦士ですか？,どんな困難にも立ち向かう戦士,強い戦士,臆病ではない戦士,伝説の戦士,1,"ウソップはどんな困難にも立ち向かう勇敢な海の戦士を目指しています。",2
チョッパーが夢見る万能薬とはどのような薬ですか？,どんな病気も治せる薬,不死の薬,悪魔の実を治す薬,傷を癒す薬,1,"チョッパーはどんな病気も治せる「万能薬」になることを夢見ています。",2
ロビンが夢見る空白の100年を解き明かすこととはどのようなことですか？,失われた歴史を明らかにする,古代兵器の謎を解く,世界の真実を知る,ワンピースの正体を知る,1,"ロビンは失われた歴史を明らかにすることを目指しています。",2
フランキーが夢見る「夢の船」とはどのような船ですか？,世界を一周できる船,サウザンドサニー号,ロジャーの船,世界最強の船,1,"フランキーは世界を一周できる「夢の船」を建造しました。",2
ブルックが夢見るラブーンとの再会とはどのようなことですか？,生きて再会すること,魂で再会すること,音楽を通じて再会すること,自由になった姿で再会すること,1,"ブルックは生きてラブーンと再会することを夢見ています。",2
ジンベエが夢見る魚人族の自由とはどのようなことですか？,魚人族が差別されない世界,魚人島が平和になること,魚人族が海を支配すること,魚人族が地上で暮らすこと,1,"ジンベエは魚人族が差別されない自由な世界を夢見ています。",2
ルフィの最初の懸賞金は3000万ベリーですが、これは誰を倒したことによるものでしたか？,アーロン,バギー,クロコダイル,モーガン,1,"ルフィの最初の懸賞金はアーロンを倒したことによるものです。",2
ゾロが鷹の目のミホークに初めて出会った場所はどこですか？,海上レストランバラティエ,フーシャ村,シェルズタウン,ローグタウン,1,"ゾロは海上レストランバラティエでミホークに出会いました。",2
ナミがアーロンパークでアーロンに奪われたものは何ですか？,村のお金,地図,自由,仲間,1,"ナミはアーロンに村のお金を奪われ続けていました。",2
ウソップがシロップ村で嘘をつき続けていた理由は？,村人を楽しませるため,海賊を追い払うため,注目されたいから,自分を守るため,1,"ウソップは村人を楽しませるため嘘をついていました。",2
サンジが海上レストランバラティエを離れる際に、ゼフに何を言われましたか？,"風邪をひくなよ",“死ぬなよ”,“夢を叶えろ”,“行ってらっしゃい”,1,"ゼフはサンジに「風邪をひくなよ」と言いました。",2
チョッパーがDr.ヒルルクの遺志を継ぐことを決意したのは、どの言葉を聞いてからですか？,"人はいつ死ぬと思う？",“この世に治せない病気はない”,“おれには夢がある”,“仲間を大切にしろ”,1,"Dr.ヒルルクの「人はいつ死ぬと思う？」という言葉がきっかけです。",2
ロビンがエニエス・ロビーで「生きたい！」と叫んだ相手は誰ですか？,ルフィ,CP9,フランキー,スパンダム,1,"ロビンはルフィに向かって「生きたい！」と叫びました。",2
フランキーがサウザンドサニー号を建造する際に、協力してくれたのは誰ですか？,アイスバーグ,ルフィ,ウソップ,ナミ,1,"フランキーはアイスバーグの協力のもとサウザンドサニー号を建造しました。",2
ブルックがラブーンとの再会を誓ったのは、誰の歌を聞いてからですか？,ルンバー海賊団の歌,ルフィの歌,ヨーホホホの歌,魂の歌,1,"ブルックはルンバー海賊団の歌をラブーンに届けました。",2
ジンベエが魚人島で「魚人族の侠客」として尊敬されている理由は？,魚人族の自由を求めているから,魚人空手の達人だから,魚人族の王だから,七武海だから,1,"ジンベエは魚人族の自由を求め、魚人族の侠客として尊敬されています。",2
ルフィが最初に使った「ギア」の技は何ですか？,ギア2,ギア3,ギア4,ギア5,1,"ルフィが最初に使ったギアはギア2です。",2
ゾロが初めて三刀流の技「鬼斬り」を使った相手は誰ですか？,バギー,モルガン,カク,Mr.1,1,"ゾロはバギー相手に鬼斬りを使いました。",2
サンジが初めて「悪魔風脚」を使った相手は誰ですか？,ジャブラ,カリファ,CP9,Mr.2,1,"サンジはジャブラ相手に悪魔風脚を使いました。",3
